Precinct,County,Registered Voters,Horacena Tate (I) (Dem)_Election Day Votes,Horacena Tate (I) (Dem)_Advanced Voting Votes,Horacena Tate (I) (Dem)_Absentee by Mail Votes,Horacena Tate (I) (Dem)_Provisional Votes,Horacena Tate (I) (Dem)_Choice Total,Total,
Birney 02,Cobb,3894,278,1022,962,1,2263,2263,
Bryant 01,Cobb,2142,202,724,467,3,1396,1396,
Bryant 02,Cobb,6209,557,1503,795,4,2859,2859,
Harmony-Leland 01,Cobb,6394,429,2077,1511,3,4020,4020,
Lindley 01,Cobb,4797,354,1566,1256,1,3177,3177,
Mableton 02,Cobb,3330,105,252,210,0,567,567,
Mableton 03,Cobb,3010,273,678,596,3,1550,1550,
Mableton 04,Cobb,1581,139,375,394,0,908,908,
Nickajack 01,Cobb,4889,0,3,3,0,6,6,
Norton Park 01,Cobb,4922,493,935,959,0,2387,2387,
Oakdale 01,Cobb,3944,51,177,128,0,356,356,
Pebblebrook 01,Cobb,5218,477,1421,980,2,2880,2880,
Riverside 01,Cobb,2133,231,488,307,1,1027,1027,
Smyrna 3B,Cobb,2496,12,65,65,0,142,142,
Smyrna 4A,Cobb,5842,247,916,1116,1,2280,2280,
Smyrna 6A,Cobb,5936,56,148,90,1,295,295,
Smyrna 7A,Cobb,6378,338,2030,1880,0,4248,4248,
