Precinct,County,Registered Voters,David Wilkerson (I) (Dem)_Election Day Votes,David Wilkerson (I) (Dem)_Advanced Voting Votes,David Wilkerson (I) (Dem)_Absentee by Mail Votes,David Wilkerson (I) (Dem)_Provisional Votes,David Wilkerson (I) (Dem)_Choice Total,Total,
Birney 01,Cobb,2727,285,548,546,8,1387,1387,
Birney 02,Cobb,3894,287,1037,979,3,2306,2306,
Clarkdale 01,Cobb,1937,102,244,210,1,557,557,
Cooper 01,Cobb,5252,481,1376,1018,2,2877,2877,
Mableton 01,Cobb,5127,259,1090,931,0,2280,2280,
Macland 01,Cobb,4213,347,1252,895,0,2494,2494,
McEachern 01,Cobb,3549,227,1017,794,1,2039,2039,
Oregon 02,Cobb,5671,72,223,141,0,436,436,
Powders Springs 1A,Cobb,4755,276,1523,1150,3,2952,2952,
Powders Springs 2A,Cobb,3536,270,1040,679,3,1992,1992,
Powders Springs 3A,Cobb,3991,318,1272,694,1,2285,2285,
Sweetwater 01,Cobb,3235,287,867,592,0,1746,1746,
Sweetwater 02,Cobb,3367,308,682,657,17,1664,1664,
