Precinct,County,Registered Voters,Blake Tillery (I) (Rep)_Election Day Votes,Blake Tillery (I) (Rep)_Advanced Voting Votes,Blake Tillery (I) (Rep)_Absentee by Mail Votes,Blake Tillery (I) (Rep)_Provisional Votes,Blake Tillery (I) (Rep)_Choice Total,Total,
Shiloh,Tattnall,1111,104,277,66,0,447,447,
East Glennville,Tattnall,2506,319,924,283,0,1526,1526,
District IV,Tattnall,2497,314,846,200,0,1360,1360,
District V,Tattnall,1062,216,337,80,0,633,633,
