Precinct,County,Registered Voters,Carroll B. Purvis_Election Day Votes,Carroll B. Purvis_Advanced Voting Votes,Carroll B. Purvis_Absentee by Mail Votes,Carroll B. Purvis_Provisional Votes,Carroll B. Purvis_Choice Total,Total,
Cobbtown,Tattnall,761,212,171,79,0,462,462,
Shiloh,Tattnall,1111,104,276,69,0,449,449,
Collins,Tattnall,1482,194,513,124,0,831,831,
Manassas,Tattnall,265,76,67,13,0,156,156,
District II,Tattnall,2500,252,868,168,0,1288,1288,
East Glennville,Tattnall,2506,319,904,282,0,1505,1505,
District IV,Tattnall,2497,329,860,225,0,1414,1414,
District V,Tattnall,1062,196,338,78,0,612,612,
