Precinct,County,Registered Voters,Barry Fleming (I) (Rep)_Election Day Votes,Barry Fleming (I) (Rep)_Advanced Voting Votes,Barry Fleming (I) (Rep)_Absentee by Mail Votes,Barry Fleming (I) (Rep)_Provisional Votes,Barry Fleming (I) (Rep)_Choice Total,Total,
132,McDuffie,1507,113,794,171,0,1078,1078,
133A,McDuffie,1278,126,460,123,0,709,709,
133B,McDuffie,1959,227,832,193,0,1252,1252,
135,McDuffie,3089,217,1242,322,0,1781,1781,
136,McDuffie,1940,132,305,162,0,599,599,
137,McDuffie,1202,86,609,133,0,828,828,
139,McDuffie,978,89,378,102,0,569,569,
