Precinct,County,Registered Voters,Connie H. Cheatham (I) (Rep)_Election Day Votes,Connie H. Cheatham (I) (Rep)_Advanced Voting Votes,Connie H. Cheatham (I) (Rep)_Absentee by Mail Votes,Connie H. Cheatham (I) (Rep)_Provisional Votes,Connie H. Cheatham (I) (Rep)_Choice Total,Total,
131,McDuffie,1172,77,267,154,0,498,498,
132,McDuffie,1507,110,775,172,0,1057,1057,
133A,McDuffie,1278,126,458,124,0,708,708,
133B,McDuffie,1959,228,821,191,0,1240,1240,
134,McDuffie,1908,130,584,237,0,951,951,
135,McDuffie,3089,214,1251,329,0,1794,1794,
136,McDuffie,1940,135,328,178,0,641,641,
137,McDuffie,1202,86,602,144,0,832,832,
139,McDuffie,978,88,375,114,0,577,577,
