Precinct,County,Registered Voters,Joe Mulholland (I) (Rep)_Election Day Votes,Joe Mulholland (I) (Rep)_Advanced Voting Votes,Joe Mulholland (I) (Rep)_Absentee by Mail Votes,Joe Mulholland (I) (Rep)_Provisional Votes,Joe Mulholland (I) (Rep)_Choice Total,Total,
Leary,Calhoun,721,133,171,109,0,413,413,
Morgan,Calhoun,662,99,225,92,0,416,416,
Edison,Calhoun,523,65,87,44,0,196,196,
Edison-Arlington,Calhoun,594,90,139,53,0,282,282,
Arlington,Calhoun,684,88,135,78,0,301,301,
