Precinct,County,Registered Voters,Gerald E. Greene (I) (Rep)_Election Day Votes,Gerald E. Greene (I) (Rep)_Advanced Voting Votes,Gerald E. Greene (I) (Rep)_Absentee by Mail Votes,Gerald E. Greene (I) (Rep)_Provisional Votes,Gerald E. Greene (I) (Rep)_Choice Total,Joyce Barlow (Dem)_Election Day Votes,Joyce Barlow (Dem)_Advanced Voting Votes,Joyce Barlow (Dem)_Absentee by Mail Votes,Joyce Barlow (Dem)_Provisional Votes,Joyce Barlow (Dem)_Choice Total,Total,
Bluffton,Clay,383,40,104,41,0,185,17,39,26,0,82,267,
Zetto,Clay,366,18,65,27,0,110,38,66,40,0,144,254,
Court House,Clay,390,18,53,26,0,97,46,66,43,0,155,252,
Old Head Start,Clay,453,25,100,39,0,164,32,49,60,0,141,305,
Days Cross Road,Clay,461,36,130,44,0,210,25,52,53,0,130,340,
