Precinct,County,Registered Voters,Bobbie Giles Brown (I) (Dem)_Election Day Votes,Bobbie Giles Brown (I) (Dem)_Advanced Voting Votes,Bobbie Giles Brown (I) (Dem)_Absentee by Mail Votes,Bobbie Giles Brown (I) (Dem)_Provisional Votes,Bobbie Giles Brown (I) (Dem)_Choice Total,Total,
Bluffton,Clay,383,53,132,57,0,242,242,
Zetto,Clay,366,53,123,57,0,233,233,
Court House,Clay,390,61,111,57,0,229,229,
Old Head Start,Clay,453,58,139,84,0,281,281,
Days Cross Road,Clay,461,54,156,93,0,303,303,
