Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Bluffton,Clay,383,38,93,44,0,175,18,48,21,0,87,262,
Zetto,Clay,366,41,75,39,0,155,13,41,22,0,76,231,
Court House,Clay,390,49,83,37,0,169,10,29,26,0,65,234,
Old Head Start,Clay,453,47,82,54,0,183,10,51,35,0,96,279,
Days Cross Road,Clay,461,45,118,69,0,232,12,56,26,0,94,326,
