Precinct,County,Registered Voters,Patricia A. Thornton (I) (Dem)_Election Day Votes,Patricia A. Thornton (I) (Dem)_Advanced Voting Votes,Patricia A. Thornton (I) (Dem)_Absentee by Mail Votes,Patricia A. Thornton (I) (Dem)_Provisional Votes,Patricia A. Thornton (I) (Dem)_Choice Total,Total,
Bluffton,Clay,383,49,122,55,0,226,226,
Zetto,Clay,366,54,113,57,0,224,224,
Court House,Clay,390,60,109,57,0,226,226,
Old Head Start,Clay,453,56,128,84,0,268,268,
Days Cross Road,Clay,461,49,147,87,0,283,283,
