Precinct,County,Registered Voters,Sam Way (I) (Rep)_Election Day Votes,Sam Way (I) (Rep)_Advanced Voting Votes,Sam Way (I) (Rep)_Absentee by Mail Votes,Sam Way (I) (Rep)_Provisional Votes,Sam Way (I) (Rep)_Choice Total,Total,
Pineknot,Marion,971,296,233,68,0,597,597,
Buena Vista,Marion,2343,214,831,312,0,1357,1357,
Tazewell,Marion,320,110,100,30,0,240,240,
Brantley,Marion,396,75,164,47,0,286,286,
Fort Perry,Marion,883,191,249,90,0,530,530,
