Precinct,County,Registered Voters,Benjamin Singleton (Rep)_Election Day Votes,Benjamin Singleton (Rep)_Advanced Voting Votes,Benjamin Singleton (Rep)_Absentee by Mail Votes,Benjamin Singleton (Rep)_Provisional Votes,Benjamin Singleton (Rep)_Choice Total,Total,
Pineknot,Marion,971,293,235,69,0,597,597,
Buena Vista,Marion,2343,216,831,312,0,1359,1359,
Tazewell,Marion,320,109,100,29,0,238,238,
Brantley,Marion,396,78,163,47,0,288,288,
Fort Perry,Marion,883,191,245,90,0,526,526,
