Precinct,County,Registered Voters,Don Cole (Rep)_Election Day Votes,Don Cole (Rep)_Advanced Voting Votes,Don Cole (Rep)_Absentee by Mail Votes,Don Cole (Rep)_Provisional Votes,Don Cole (Rep)_Choice Total,Sanford Bishop (I) (Dem)_Election Day Votes,Sanford Bishop (I) (Dem)_Advanced Voting Votes,Sanford Bishop (I) (Dem)_Absentee by Mail Votes,Sanford Bishop (I) (Dem)_Provisional Votes,Sanford Bishop (I) (Dem)_Choice Total,Total,
Pineknot,Marion,971,282,213,60,0,555,30,46,30,0,106,661,
Buena Vista,Marion,2343,82,474,119,0,675,182,548,369,0,1099,1774,
Tazewell,Marion,320,91,83,9,0,183,26,21,23,0,70,253,
Brantley,Marion,396,65,150,30,0,245,12,22,25,0,59,304,
Fort Perry,Marion,883,161,209,64,0,434,41,57,44,0,142,576,
