Precinct,County,Registered Voters,Joseph Singleton Wells (I)_Election Day Votes,Joseph Singleton Wells (I)_Advanced Voting Votes,Joseph Singleton Wells (I)_Absentee by Mail Votes,Joseph Singleton Wells (I)_Provisional Votes,Joseph Singleton Wells (I)_Choice Total,Total,
Pineknot,Marion,971,254,216,61,0,531,531,
Buena Vista,Marion,2343,227,857,358,0,1442,1442,
Tazewell,Marion,320,107,93,29,0,229,229,
Brantley,Marion,396,75,144,42,0,261,261,
Fort Perry,Marion,883,166,221,84,0,471,471,
