Precinct,County,Registered Voters,Heather Stuart (I) (Rep)_Election Day Votes,Heather Stuart (I) (Rep)_Advanced Voting Votes,Heather Stuart (I) (Rep)_Absentee by Mail Votes,Heather Stuart (I) (Rep)_Provisional Votes,Heather Stuart (I) (Rep)_Choice Total,Total,
Pineknot,Marion,971,302,246,71,0,619,619,
Buena Vista,Marion,2343,220,872,341,0,1433,1433,
Tazewell,Marion,320,111,99,29,0,239,239,
Brantley,Marion,396,76,162,50,0,288,288,
Fort Perry,Marion,883,194,249,88,0,531,531,
