Precinct,County,Registered Voters,Mark P. Jones (Dem)_Election Day Votes,Mark P. Jones (Dem)_Advanced Voting Votes,Mark P. Jones (Dem)_Absentee by Mail Votes,Mark P. Jones (Dem)_Provisional Votes,Mark P. Jones (Dem)_Choice Total,Total,
Pineknot,Marion,971,169,162,55,0,386,386,
Buena Vista,Marion,2343,221,760,398,0,1379,1379,
Tazewell,Marion,320,66,62,24,0,152,152,
Brantley,Marion,396,49,86,36,0,171,171,
Fort Perry,Marion,883,128,157,76,0,361,361,
