Precinct,County,Registered Voters,Phylis Ewing_Election Day Votes,Phylis Ewing_Advanced Voting Votes,Phylis Ewing_Absentee by Mail Votes,Phylis Ewing_Provisional Votes,Phylis Ewing_Choice Total,Total,
Pineknot,Marion,971,296,238,70,0,604,604,
Buena Vista,Marion,2343,222,875,344,0,1441,1441,
Tazewell,Marion,320,115,99,27,0,241,241,
Brantley,Marion,396,74,162,50,0,286,286,
Fort Perry,Marion,883,187,244,91,0,522,522,
