Precinct,County,Registered Voters,Marjorie Taylor Greene (Rep)_Election Day Votes,Marjorie Taylor Greene (Rep)_Advanced Voting Votes,Marjorie Taylor Greene (Rep)_Absentee by Mail Votes,Marjorie Taylor Greene (Rep)_Provisional Votes,Marjorie Taylor Greene (Rep)_Choice Total,Kevin Van Ausdal (Dem)_Election Day Votes,Kevin Van Ausdal (Dem)_Advanced Voting Votes,Kevin Van Ausdal (Dem)_Absentee by Mail Votes,Kevin Van Ausdal (Dem)_Provisional Votes,Kevin Van Ausdal (Dem)_Choice Total,Total,
1A,Whitfield,2533,175,306,158,3,642,169,315,157,0,641,1283,
2A,Whitfield,3090,310,840,235,5,1390,146,344,168,1,659,2049,
3A,Whitfield,2221,222,550,171,0,943,101,267,138,0,506,1449,
4A,Whitfield,2586,245,666,182,0,1093,147,344,182,1,674,1767,
5A,Whitfield,2238,121,143,56,2,322,220,335,150,3,708,1030,
6A,Whitfield,1690,100,111,42,1,254,183,235,89,1,508,762,
AN,Whitfield,2474,227,359,91,4,681,151,291,123,1,566,1247,
CA,Whitfield,1953,463,379,99,1,942,84,100,54,2,240,1182,
CO,Whitfield,1431,433,298,81,7,819,57,61,53,0,171,990,
DG,Whitfield,3295,480,751,229,4,1464,203,313,179,0,695,2159,
ES,Whitfield,1702,228,292,81,0,601,97,137,84,0,318,919,
FI,Whitfield,2146,381,452,108,2,943,110,192,77,0,379,1322,
GL,Whitfield,2510,334,497,139,1,971,191,255,136,1,583,1554,
LT,Whitfield,1148,276,394,69,1,740,24,59,26,1,110,850,
MC,Whitfield,1659,460,470,93,1,1024,50,64,46,0,160,1184,
NI,Whitfield,2456,586,627,165,2,1380,88,105,77,0,270,1650,
PG,Whitfield,4721,583,1337,362,4,2286,224,396,244,4,868,3154,
TH,Whitfield,3836,686,1073,262,2,2023,116,246,168,0,530,2553,
TI,Whitfield,775,261,127,30,0,418,36,24,21,1,82,500,
TR,Whitfield,1335,327,425,114,0,866,42,56,49,0,147,1013,
UT,Whitfield,1053,346,243,70,0,659,42,28,35,0,105,764,
VA,Whitfield,5250,906,1528,371,2,2807,177,411,229,0,817,3624,
WS,Whitfield,2647,470,759,215,3,1447,81,212,113,1,407,1854,
