Precinct,County,Registered Voters,Carolyn Weaver (Rep)_Election Day Votes,Carolyn Weaver (Rep)_Advanced Voting Votes,Carolyn Weaver (Rep)_Absentee by Mail Votes,Carolyn Weaver (Rep)_Provisional Votes,Carolyn Weaver (Rep)_Choice Total,Total,
1A,Whitfield,2533,8,25,11,0,44,44,
2A,Whitfield,3090,54,188,49,0,291,291,
4A,Whitfield,2586,13,41,13,0,67,67,
5A,Whitfield,2238,6,8,1,0,15,15,
6A,Whitfield,1690,13,9,2,0,24,24,
AN,Whitfield,2474,289,415,126,4,834,834,
CA,Whitfield,1953,507,434,125,1,1067,1067,
CO,Whitfield,1431,454,336,104,7,901,901,
DG,Whitfield,3295,548,814,286,4,1652,1652,
ES,Whitfield,1702,293,354,124,0,771,771,
FI,Whitfield,2146,439,555,141,2,1137,1137,
GL,Whitfield,2510,374,493,142,1,1010,1010,
LT,Whitfield,1148,278,415,77,1,771,771,
MC,Whitfield,1659,481,496,107,1,1085,1085,
NI,Whitfield,2456,639,663,203,1,1506,1506,
PG,Whitfield,4721,610,1189,345,3,2147,2147,
TH,Whitfield,3836,725,1188,325,2,2240,2240,
TI,Whitfield,775,264,134,41,0,439,439,
TR,Whitfield,1335,345,454,125,0,924,924,
UT,Whitfield,1053,369,252,76,0,697,697,
VA,Whitfield,5250,1012,1734,474,1,3221,3221,
WS,Whitfield,2647,526,870,272,3,1671,1671,
