Precinct,County,Registered Voters,Bert Poston (I) (Rep)_Election Day Votes,Bert Poston (I) (Rep)_Advanced Voting Votes,Bert Poston (I) (Rep)_Absentee by Mail Votes,Bert Poston (I) (Rep)_Provisional Votes,Bert Poston (I) (Rep)_Choice Total,Total,
1A,Whitfield,2533,266,456,235,3,960,960,
2A,Whitfield,3090,412,1037,315,5,1769,1769,
3A,Whitfield,2221,293,714,273,0,1280,1280,
4A,Whitfield,2586,347,895,298,0,1540,1540,
5A,Whitfield,2238,254,320,127,3,704,704,
6A,Whitfield,1690,205,232,81,0,518,518,
AN,Whitfield,2474,328,503,163,5,999,999,
CA,Whitfield,1953,511,432,130,2,1075,1075,
CO,Whitfield,1431,458,332,108,7,905,905,
DG,Whitfield,3295,626,932,334,4,1896,1896,
ES,Whitfield,1702,290,358,125,0,773,773,
FI,Whitfield,2146,443,552,137,2,1134,1134,
GL,Whitfield,2510,451,610,200,1,1262,1262,
LT,Whitfield,1148,282,416,76,1,775,775,
MC,Whitfield,1659,484,499,113,1,1097,1097,
NI,Whitfield,2456,638,680,208,2,1528,1528,
PG,Whitfield,4721,715,1554,479,4,2752,2752,
TH,Whitfield,3836,742,1194,326,2,2264,2264,
TI,Whitfield,775,269,135,39,1,444,444,
TR,Whitfield,1335,348,449,133,0,930,930,
UT,Whitfield,1053,369,252,82,0,703,703,
VA,Whitfield,5250,1014,1744,477,2,3237,3237,
WS,Whitfield,2647,529,871,282,3,1685,1685,
