Precinct,County,Registered Voters,"David E. Lucas, Sr. (I) (Dem)_Election Day Votes","David E. Lucas, Sr. (I) (Dem)_Advanced Voting Votes","David E. Lucas, Sr. (I) (Dem)_Absentee by Mail Votes","David E. Lucas, Sr. (I) (Dem)_Provisional Votes","David E. Lucas, Sr. (I) (Dem)_Choice Total",Total,
Bloodworth,Wilkinson,434,93,57,18,0,168,168,
Griffin,Wilkinson,184,54,20,22,0,96,96,
High Hill,Wilkinson,173,47,20,15,0,82,82,
Irwinton,Wilkinson,875,79,278,96,1,454,454,
Ivey,Wilkinson,960,181,114,35,1,331,331,
Lord,Wilkinson,735,136,158,73,0,367,367,
Midway,Wilkinson,938,105,266,177,3,551,551,
Ramah,Wilkinson,1709,303,380,195,0,878,878,
Turkey Creek,Wilkinson,462,104,63,27,0,194,194,
