Precinct,County,Registered Voters,Donnie Brooks (I) (Dem)_Election Day Votes,Donnie Brooks (I) (Dem)_Advanced Voting Votes,Donnie Brooks (I) (Dem)_Absentee by Mail Votes,Donnie Brooks (I) (Dem)_Provisional Votes,Donnie Brooks (I) (Dem)_Choice Total,Total,
Bloodworth,Wilkinson,434,127,75,26,0,228,228,
Griffin,Wilkinson,184,67,28,24,0,119,119,
High Hill,Wilkinson,173,60,24,14,0,98,98,
Irwinton,Wilkinson,875,94,316,105,1,516,516,
Ivey,Wilkinson,960,256,167,54,2,479,479,
Lord,Wilkinson,735,159,173,83,0,415,415,
Midway,Wilkinson,938,107,275,167,3,552,552,
Ramah,Wilkinson,1709,363,445,214,0,1022,1022,
Turkey Creek,Wilkinson,462,129,73,31,0,233,233,
