Precinct,County,Registered Voters,T. Wright Barksdale (Rep)_Election Day Votes,T. Wright Barksdale (Rep)_Advanced Voting Votes,T. Wright Barksdale (Rep)_Absentee by Mail Votes,T. Wright Barksdale (Rep)_Provisional Votes,T. Wright Barksdale (Rep)_Choice Total,Total,
Bloodworth,Wilkinson,434,184,109,25,0,318,318,
Griffin,Wilkinson,184,82,34,17,0,133,133,
High Hill,Wilkinson,173,77,34,11,0,122,122,
Irwinton,Wilkinson,875,101,268,60,1,430,430,
Ivey,Wilkinson,960,309,212,47,2,570,570,
Lord,Wilkinson,735,169,176,40,0,385,385,
Midway,Wilkinson,938,90,182,67,3,342,342,
Ramah,Wilkinson,1709,330,386,136,0,852,852,
Turkey Creek,Wilkinson,462,159,86,27,0,272,272,
