Precinct,County,Registered Voters,John Hogue_Election Day Votes,John Hogue_Advanced Voting Votes,John Hogue_Absentee by Mail Votes,John Hogue_Provisional Votes,John Hogue_Choice Total,Total,
Bloodworth,Wilkinson,434,142,82,22,0,246,246,
Griffin,Wilkinson,184,72,26,23,0,121,121,
High Hill,Wilkinson,173,59,28,14,0,101,101,
Irwinton,Wilkinson,875,83,288,85,1,457,457,
Ivey,Wilkinson,960,265,176,51,2,494,494,
Lord,Wilkinson,735,150,170,76,0,396,396,
Midway,Wilkinson,938,101,220,123,3,447,447,
Ramah,Wilkinson,1709,341,427,192,0,960,960,
Turkey Creek,Wilkinson,462,132,81,27,0,240,240,
