Precinct,County,Registered Voters,Cinda S. Bright (I) (Dem)_Election Day Votes,Cinda S. Bright (I) (Dem)_Advanced Voting Votes,Cinda S. Bright (I) (Dem)_Absentee by Mail Votes,Cinda S. Bright (I) (Dem)_Provisional Votes,Cinda S. Bright (I) (Dem)_Choice Total,Total,
Bloodworth,Wilkinson,434,138,89,26,0,253,253,
Griffin,Wilkinson,184,71,30,25,0,126,126,
High Hill,Wilkinson,173,64,29,15,0,108,108,
Irwinton,Wilkinson,875,96,338,108,1,543,543,
Ivey,Wilkinson,960,260,180,54,2,496,496,
Lord,Wilkinson,735,177,186,92,0,455,455,
Midway,Wilkinson,938,114,299,179,3,595,595,
Ramah,Wilkinson,1709,374,476,223,0,1073,1073,
Turkey Creek,Wilkinson,462,150,84,32,0,266,266,
