Precinct,County,Registered Voters,Roger L. Smith (I) (Dem)_Election Day Votes,Roger L. Smith (I) (Dem)_Advanced Voting Votes,Roger L. Smith (I) (Dem)_Absentee by Mail Votes,Roger L. Smith (I) (Dem)_Provisional Votes,Roger L. Smith (I) (Dem)_Choice Total,Total,
Bloodworth,Wilkinson,434,117,71,23,0,211,211,
Griffin,Wilkinson,184,64,21,24,0,109,109,
High Hill,Wilkinson,173,58,23,14,0,95,95,
Irwinton,Wilkinson,875,85,317,107,1,510,510,
Ivey,Wilkinson,960,217,145,45,2,409,409,
Lord,Wilkinson,735,154,174,87,0,415,415,
Midway,Wilkinson,938,107,278,182,3,570,570,
Ramah,Wilkinson,1709,350,420,211,0,981,981,
Turkey Creek,Wilkinson,462,125,69,29,0,223,223,
