Precinct,County,Registered Voters,Charles Pitts (I) (Dem)_Election Day Votes,Charles Pitts (I) (Dem)_Advanced Voting Votes,Charles Pitts (I) (Dem)_Absentee by Mail Votes,Charles Pitts (I) (Dem)_Provisional Votes,Charles Pitts (I) (Dem)_Choice Total,Total,
Bloodworth,Wilkinson,434,117,69,20,0,206,206,
Irwinton,Wilkinson,875,26,81,38,1,146,146,
Ivey,Wilkinson,960,8,7,3,0,18,18,
Midway,Wilkinson,938,94,262,179,3,538,538,
