Precinct,County,Registered Voters,Dick Perryman (I) (Rep)_Election Day Votes,Dick Perryman (I) (Rep)_Advanced Voting Votes,Dick Perryman (I) (Rep)_Absentee by Mail Votes,Dick Perryman (I) (Rep)_Provisional Votes,Dick Perryman (I) (Rep)_Choice Total,Total,
Arabia,Clinch,108,60,12,4,0,76,76,
Argyle,Clinch,367,98,109,16,0,223,223,
Dupont,Clinch,338,107,71,11,1,190,190,
Fargo,Clinch,270,147,20,10,0,177,177,
Homerville,Clinch,3262,282,1130,217,0,1629,1629,
