Precinct,County,Registered Voters,Kasey Carpenter (I) (Rep)_Election Day Votes,Kasey Carpenter (I) (Rep)_Advanced Voting Votes,Kasey Carpenter (I) (Rep)_Absentee by Mail Votes,Kasey Carpenter (I) (Rep)_Provisional Votes,Kasey Carpenter (I) (Rep)_Choice Total,Total,
1A,Whitfield,2533,273,475,241,1,990,990,
2A,Whitfield,3090,369,891,280,0,1540,1540,
3A,Whitfield,2221,299,714,289,0,1302,1302,
4A,Whitfield,2586,351,906,310,0,1567,1567,
5A,Whitfield,2238,260,327,126,3,716,716,
6A,Whitfield,1690,213,250,80,0,543,543,
AN,Whitfield,2474,330,506,165,3,1004,1004,
CA,Whitfield,1953,517,442,128,2,1089,1089,
DG,Whitfield,3295,625,937,346,2,1910,1910,
FI,Whitfield,2146,453,559,140,1,1153,1153,
MC,Whitfield,1659,496,500,113,0,1109,1109,
TI,Whitfield,775,270,140,43,1,454,454,
