Precinct,County,Registered Voters,Ron Johnson (I) (Rep)_Election Day Votes,Ron Johnson (I) (Rep)_Advanced Voting Votes,Ron Johnson (I) (Rep)_Absentee by Mail Votes,Ron Johnson (I) (Rep)_Provisional Votes,Ron Johnson (I) (Rep)_Choice Total,Total,
1A,Whitfield,2533,8,25,11,0,44,44,
2A,Whitfield,3090,53,188,48,0,289,289,
4A,Whitfield,2586,13,41,15,0,69,69,
5A,Whitfield,2238,6,8,1,0,15,15,
6A,Whitfield,1690,14,10,2,0,26,26,
AN,Whitfield,2474,287,414,131,4,836,836,
CA,Whitfield,1953,507,435,124,1,1067,1067,
CO,Whitfield,1431,457,333,103,7,900,900,
DG,Whitfield,3295,551,820,288,4,1663,1663,
ES,Whitfield,1702,293,357,124,0,774,774,
FI,Whitfield,2146,444,553,140,2,1139,1139,
GL,Whitfield,2510,376,492,144,1,1013,1013,
LT,Whitfield,1148,280,413,75,1,769,769,
MC,Whitfield,1659,481,498,108,1,1088,1088,
NI,Whitfield,2456,641,667,201,1,1510,1510,
PG,Whitfield,4721,606,1196,347,2,2151,2151,
TH,Whitfield,3836,729,1182,324,2,2237,2237,
TI,Whitfield,775,266,135,41,0,442,442,
TR,Whitfield,1335,342,455,129,0,926,926,
UT,Whitfield,1053,369,251,74,0,694,694,
VA,Whitfield,5250,1012,1729,466,1,3208,3208,
WS,Whitfield,2647,524,868,279,3,1674,1674,
