Precinct,County,Registered Voters,Jason T. Ridley (I) (Rep)_Election Day Votes,Jason T. Ridley (I) (Rep)_Advanced Voting Votes,Jason T. Ridley (I) (Rep)_Absentee by Mail Votes,Jason T. Ridley (I) (Rep)_Provisional Votes,Jason T. Ridley (I) (Rep)_Choice Total,Total,
2A,Whitfield,3090,49,169,40,0,258,258,
CO,Whitfield,1431,462,332,106,6,906,906,
ES,Whitfield,1702,293,358,126,0,777,777,
GL,Whitfield,2510,444,618,201,0,1263,1263,
LT,Whitfield,1148,285,415,78,1,779,779,
NI,Whitfield,2456,648,683,203,1,1535,1535,
PG,Whitfield,4721,727,1563,471,3,2764,2764,
UT,Whitfield,1053,369,254,74,0,697,697,
VA,Whitfield,5250,1015,1739,474,1,3229,3229,
