Precinct,County,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
1A,Whitfield,2533,160,309,157,3,629,153,293,150,0,596,31,28,15,0,74,1299,
2A,Whitfield,3090,317,883,256,5,1461,125,291,157,0,573,22,35,13,0,70,2104,
3A,Whitfield,2221,229,577,194,0,1000,85,217,137,0,439,24,31,16,0,71,1510,
4A,Whitfield,2586,252,721,209,0,1182,127,300,169,1,597,25,25,19,0,69,1848,
5A,Whitfield,2238,121,145,48,2,316,199,334,150,3,686,31,28,5,0,64,1066,
6A,Whitfield,1690,95,110,36,1,242,179,226,86,1,492,18,23,10,0,51,785,
AN,Whitfield,2474,220,345,81,4,650,137,281,131,1,550,30,28,11,0,69,1269,
CA,Whitfield,1953,444,377,95,1,917,74,87,52,2,215,23,13,4,0,40,1172,
CO,Whitfield,1431,420,302,85,7,814,52,54,51,0,157,16,5,1,0,22,993,
DG,Whitfield,3295,498,764,242,4,1508,159,261,170,0,590,40,40,18,0,98,2196,
ES,Whitfield,1702,234,286,78,0,598,83,125,78,0,286,15,19,11,0,45,929,
FI,Whitfield,2146,377,431,98,2,908,97,190,80,0,367,21,21,12,0,54,1329,
GL,Whitfield,2510,316,494,139,1,950,170,240,130,1,541,39,26,6,0,71,1562,
LT,Whitfield,1148,272,388,69,1,730,15,52,24,1,92,8,6,1,0,15,837,
MC,Whitfield,1659,448,456,95,1,1000,36,63,44,0,143,28,17,7,0,52,1195,
NI,Whitfield,2456,589,626,167,1,1383,69,91,71,0,231,23,15,7,1,46,1660,
PG,Whitfield,4721,571,1345,380,4,2300,190,349,221,1,761,50,58,23,3,134,3195,
TH,Whitfield,3836,661,1057,273,2,1993,93,216,160,0,469,38,42,10,0,90,2552,
TI,Whitfield,775,253,124,28,0,405,32,21,21,1,75,9,4,2,0,15,495,
TR,Whitfield,1335,329,422,116,0,867,29,46,44,0,119,11,16,5,0,32,1018,
UT,Whitfield,1053,337,239,71,0,647,38,27,33,0,98,12,4,3,0,19,764,
VA,Whitfield,5250,893,1537,382,2,2814,160,362,210,0,732,49,44,22,0,115,3661,
WS,Whitfield,2647,462,764,230,3,1459,64,197,103,1,365,26,27,13,0,66,1890,
