Precinct,County,Registered Voters,Jevin Jensen (Rep)_Election Day Votes,Jevin Jensen (Rep)_Advanced Voting Votes,Jevin Jensen (Rep)_Absentee by Mail Votes,Jevin Jensen (Rep)_Provisional Votes,Jevin Jensen (Rep)_Choice Total,Total,
1A,Whitfield,2533,271,455,234,3,963,963,
2A,Whitfield,3090,408,1038,313,5,1764,1764,
3A,Whitfield,2221,287,700,260,0,1247,1247,
4A,Whitfield,2586,340,875,288,0,1503,1503,
5A,Whitfield,2238,253,328,121,3,705,705,
6A,Whitfield,1690,200,241,84,1,526,526,
AN,Whitfield,2474,329,499,164,5,997,997,
CA,Whitfield,1953,507,437,127,1,1072,1072,
CO,Whitfield,1431,456,333,107,7,903,903,
DG,Whitfield,3295,623,920,319,4,1866,1866,
ES,Whitfield,1702,293,351,124,0,768,768,
FI,Whitfield,2146,443,555,143,2,1143,1143,
GL,Whitfield,2510,442,603,197,1,1243,1243,
LT,Whitfield,1148,279,417,76,1,773,773,
MC,Whitfield,1659,483,493,109,1,1086,1086,
NI,Whitfield,2456,640,664,205,2,1511,1511,
PG,Whitfield,4721,712,1533,480,5,2730,2730,
TH,Whitfield,3836,732,1186,328,2,2248,2248,
TI,Whitfield,775,268,136,41,1,446,446,
TR,Whitfield,1335,346,450,133,0,929,929,
UT,Whitfield,1053,373,253,77,0,703,703,
VA,Whitfield,5250,1017,1729,484,2,3232,3232,
WS,Whitfield,2647,527,873,275,3,1678,1678,
