Precinct,County,Registered Voters,Steve Tarvin (I) (Rep)_Election Day Votes,Steve Tarvin (I) (Rep)_Advanced Voting Votes,Steve Tarvin (I) (Rep)_Absentee by Mail Votes,Steve Tarvin (I) (Rep)_Provisional Votes,Steve Tarvin (I) (Rep)_Choice Total,Total,
TH,Whitfield,3836,744,1196,331,0,2271,2271,
TR,Whitfield,1335,353,459,132,0,944,944,
WS,Whitfield,2647,526,866,274,1,1667,1667,
