Precinct,County,Registered Voters,Mack Jackson (I) (Dem)_Election Day Votes,Mack Jackson (I) (Dem)_Advanced Voting Votes,Mack Jackson (I) (Dem)_Absentee by Mail Votes,Mack Jackson (I) (Dem)_Provisional Votes,Mack Jackson (I) (Dem)_Choice Total,Total,
Edgehill,Glascock,136,26,28,6,0,60,60,
Gibson,Glascock,677,76,135,33,0,244,244,
Mill,Glascock,778,93,168,39,0,300,300,
Mitchell,Glascock,448,75,69,37,0,181,181,
