Precinct,County,Registered Voters,Jeffery Chalker (I) (Rep)_Election Day Votes,Jeffery Chalker (I) (Rep)_Advanced Voting Votes,Jeffery Chalker (I) (Rep)_Absentee by Mail Votes,Jeffery Chalker (I) (Rep)_Provisional Votes,Jeffery Chalker (I) (Rep)_Choice Total,Total,
Edgehill,Glascock,136,44,45,6,0,95,95,
Gibson,Glascock,677,100,220,61,0,381,381,
Mill,Glascock,778,134,291,55,0,480,480,
Mitchell,Glascock,448,99,127,51,0,277,277,
