Precinct,County,Registered Voters,Kristie Stephens (I) (Rep)_Election Day Votes,Kristie Stephens (I) (Rep)_Advanced Voting Votes,Kristie Stephens (I) (Rep)_Absentee by Mail Votes,Kristie Stephens (I) (Rep)_Provisional Votes,Kristie Stephens (I) (Rep)_Choice Total,Total,
Edgehill,Glascock,136,46,47,6,0,99,99,
Gibson,Glascock,677,110,253,65,0,428,428,
Mill,Glascock,778,138,321,59,0,518,518,
Mitchell,Glascock,448,105,134,59,0,298,298,
