Precinct,County,Registered Voters,Mack Mason (I) (Rep)_Election Day Votes,Mack Mason (I) (Rep)_Advanced Voting Votes,Mack Mason (I) (Rep)_Absentee by Mail Votes,Mack Mason (I) (Rep)_Provisional Votes,Mack Mason (I) (Rep)_Choice Total,Total,
Blairsville,Union,2435,252,992,415,3,1662,1662,
Coosa,Union,2294,372,981,291,0,1644,1644,
Choestoe,Union,1377,274,535,186,1,996,996,
Jones Creek,Union,1945,397,755,288,2,1442,1442,
Owltown,Union,1517,240,591,229,0,1060,1060,
Ivy Log,Union,2008,377,806,335,0,1518,1518,
Suches,Union,611,227,89,74,0,390,390,
Trackrock,Union,1110,195,421,168,0,784,784,
Dooley,Union,1531,342,517,216,1,1076,1076,
Gumlog,Union,2143,379,833,321,1,1534,1534,
Pat Colwell,Union,2230,322,987,335,2,1646,1646,
