Precinct,County,Registered Voters,Lee Knight (I) (Rep)_Election Day Votes,Lee Knight (I) (Rep)_Advanced Voting Votes,Lee Knight (I) (Rep)_Absentee by Mail Votes,Lee Knight (I) (Rep)_Provisional Votes,Lee Knight (I) (Rep)_Choice Total,Total,
Blairsville,Union,2435,263,1005,411,3,1682,1682,
Coosa,Union,2294,388,997,302,0,1687,1687,
Choestoe,Union,1377,286,540,185,1,1012,1012,
Jones Creek,Union,1945,397,766,292,2,1457,1457,
Owltown,Union,1517,246,599,233,0,1078,1078,
Ivy Log,Union,2008,381,816,329,0,1526,1526,
Suches,Union,611,237,88,77,0,402,402,
Trackrock,Union,1110,195,430,164,0,789,789,
Dooley,Union,1531,347,525,216,1,1089,1089,
Gumlog,Union,2143,377,849,325,1,1552,1552,
Pat Colwell,Union,2230,325,996,338,2,1661,1661,
