Precinct,County,Registered Voters,Jennifer T. Riddle (I) (Rep)_Election Day Votes,Jennifer T. Riddle (I) (Rep)_Advanced Voting Votes,Jennifer T. Riddle (I) (Rep)_Absentee by Mail Votes,Jennifer T. Riddle (I) (Rep)_Provisional Votes,Jennifer T. Riddle (I) (Rep)_Choice Total,Total,
City Hall,Oconee,3910,336,1834,542,0,2712,2712,
Colham Ferry,Oconee,1847,206,934,257,1,1398,1398,
Antioch,Oconee,1397,248,611,195,0,1054,1054,
Farmington,Oconee,737,163,283,89,0,535,535,
Bishop,Oconee,1938,241,921,238,2,1402,1402,
High Shoals,Oconee,1939,237,1016,234,0,1487,1487,
North Oconee,Oconee,1244,187,615,169,0,971,971,
Dark Corner,Oconee,3541,471,1832,435,1,2739,2739,
Bogart,Oconee,2384,357,996,322,0,1675,1675,
Marswood Hall,Oconee,4091,321,1882,814,0,3017,3017,
East Oconee,Oconee,2647,162,1210,374,0,1746,1746,
Civic Center,Oconee,4396,346,2096,730,0,3172,3172,
