Precinct,County,Registered Voters,Tammie Teal (I) (Rep)_Election Day Votes,Tammie Teal (I) (Rep)_Advanced Voting Votes,Tammie Teal (I) (Rep)_Absentee by Mail Votes,Tammie Teal (I) (Rep)_Provisional Votes,Tammie Teal (I) (Rep)_Choice Total,Total,
Centralhatchee,Heard,1767,391,595,194,0,1180,1180,
Cooksville-Corinth,Heard,700,153,199,50,0,402,402,
Enon Grove,Heard,1156,276,311,89,0,676,676,
Ephesus,Heard,1321,427,308,137,0,872,872,
Franklin,Heard,2178,294,724,250,1,1269,1269,
Southwest,Heard,640,168,177,90,0,435,435,
