Precinct,County,Registered Voters,Ross Henry (I) (Rep)_Election Day Votes,Ross Henry (I) (Rep)_Advanced Voting Votes,Ross Henry (I) (Rep)_Absentee by Mail Votes,Ross Henry (I) (Rep)_Provisional Votes,Ross Henry (I) (Rep)_Choice Total,Total,
Centralhatchee,Heard,1767,387,604,196,0,1187,1187,
Cooksville-Corinth,Heard,700,153,190,51,0,394,394,
Enon Grove,Heard,1156,280,313,87,0,680,680,
Ephesus,Heard,1321,418,305,143,0,866,866,
Franklin,Heard,2178,296,754,264,1,1315,1315,
Southwest,Heard,640,164,182,93,0,439,439,
