Precinct,County,Registered Voters,Larry Hooks (I) (Rep)_Election Day Votes,Larry Hooks (I) (Rep)_Advanced Voting Votes,Larry Hooks (I) (Rep)_Absentee by Mail Votes,Larry Hooks (I) (Rep)_Provisional Votes,Larry Hooks (I) (Rep)_Choice Total,Total,
Cooksville-Corinth,Heard,700,126,156,41,0,323,323,
Enon Grove,Heard,1156,244,265,81,0,590,590,
