Precinct,County,Registered Voters,Robert O. Jordan (Dem)_Election Day Votes,Robert O. Jordan (Dem)_Advanced Voting Votes,Robert O. Jordan (Dem)_Absentee by Mail Votes,Robert O. Jordan (Dem)_Provisional Votes,Robert O. Jordan (Dem)_Choice Total,Total,
Wyatt,Jasper,1940,382,403,195,2,982,982,
Monticello,Jasper,4516,357,1624,648,9,2638,2638,
Martin-Burney,Jasper,3976,613,1051,328,1,1993,1993,
