Precinct,County,Registered Voters,Steven Ledford (Rep)_Election Day Votes,Steven Ledford (Rep)_Advanced Voting Votes,Steven Ledford (Rep)_Absentee by Mail Votes,Steven Ledford (Rep)_Provisional Votes,Steven Ledford (Rep)_Choice Total,Total,
Wyatt,Jasper,1940,267,245,63,0,575,575,
Monticello,Jasper,4516,13,67,18,0,98,98,
Martin-Burney,Jasper,3976,238,511,134,1,884,884,
