Precinct,County,Registered Voters,Tim Harper (I) (Rep)_Election Day Votes,Tim Harper (I) (Rep)_Advanced Voting Votes,Tim Harper (I) (Rep)_Absentee by Mail Votes,Tim Harper (I) (Rep)_Provisional Votes,Tim Harper (I) (Rep)_Choice Total,Total,
Anderson,Banks,1533,224,601,126,1,952,952,
Baldwin,Banks,876,95,338,134,0,567,567,
Berlin,Banks,415,44,199,27,1,271,271,
Bushville,Banks,816,122,309,55,1,487,487,
Columbia,Banks,363,65,168,33,0,266,266,
Davids,Banks,1977,261,772,149,4,1186,1186,
Golden Hill,Banks,1008,135,347,81,0,563,563,
Grove River,Banks,600,96,239,72,0,407,407,
Hollingsworth,Banks,667,89,292,64,1,446,446,
Homer,Banks,1544,184,684,131,0,999,999,
Poplar Springs,Banks,1775,230,740,166,1,1137,1137,
Washington,Banks,704,88,316,58,1,463,463,
Wilmonts,Banks,620,77,267,57,0,401,401,
