Precinct,County,Registered Voters,Anthony Seabolt (I) (Rep)_Election Day Votes,Anthony Seabolt (I) (Rep)_Advanced Voting Votes,Anthony Seabolt (I) (Rep)_Absentee by Mail Votes,Anthony Seabolt (I) (Rep)_Provisional Votes,Anthony Seabolt (I) (Rep)_Choice Total,Total,
Anderson,Banks,1533,222,587,121,1,931,931,
Baldwin,Banks,876,93,332,132,0,557,557,
Berlin,Banks,415,45,190,27,1,263,263,
Bushville,Banks,816,123,303,53,1,480,480,
Columbia,Banks,363,65,168,33,0,266,266,
Davids,Banks,1977,257,764,145,4,1170,1170,
Golden Hill,Banks,1008,131,339,78,0,548,548,
Grove River,Banks,600,96,237,72,0,405,405,
Hollingsworth,Banks,667,88,289,61,1,439,439,
Homer,Banks,1544,180,664,126,1,971,971,
Poplar Springs,Banks,1775,232,732,160,1,1125,1125,
Washington,Banks,704,86,306,56,1,449,449,
Wilmonts,Banks,620,76,261,56,0,393,393,
