Precinct,County,Registered Voters,Mark Savage (I) (Rep)_Election Day Votes,Mark Savage (I) (Rep)_Advanced Voting Votes,Mark Savage (I) (Rep)_Absentee by Mail Votes,Mark Savage (I) (Rep)_Provisional Votes,Mark Savage (I) (Rep)_Choice Total,Total,
Anderson,Banks,1533,220,593,125,1,939,939,
Baldwin,Banks,876,94,334,132,0,560,560,
Berlin,Banks,415,45,197,27,1,270,270,
Bushville,Banks,816,125,306,53,1,485,485,
Columbia,Banks,363,64,169,33,0,266,266,
Davids,Banks,1977,259,766,142,4,1171,1171,
Golden Hill,Banks,1008,132,346,79,0,557,557,
Grove River,Banks,600,96,238,72,0,406,406,
Hollingsworth,Banks,667,88,290,62,1,441,441,
Homer,Banks,1544,181,674,132,0,987,987,
Poplar Springs,Banks,1775,234,740,164,1,1139,1139,
Washington,Banks,704,87,309,57,1,454,454,
Wilmonts,Banks,620,77,264,56,0,397,397,
