Precinct,County,Registered Voters,Brad Smith (I) (Rep)_Election Day Votes,Brad Smith (I) (Rep)_Advanced Voting Votes,Brad Smith (I) (Rep)_Absentee by Mail Votes,Brad Smith (I) (Rep)_Provisional Votes,Brad Smith (I) (Rep)_Choice Total,Total,
Anderson,Banks,1533,222,591,120,1,934,934,
Baldwin,Banks,876,94,337,133,0,564,564,
Berlin,Banks,415,45,192,27,1,265,265,
Bushville,Banks,816,121,305,53,1,480,480,
Columbia,Banks,363,65,167,33,0,265,265,
Davids,Banks,1977,261,762,146,4,1173,1173,
Golden Hill,Banks,1008,135,342,77,0,554,554,
Grove River,Banks,600,97,238,70,0,405,405,
Hollingsworth,Banks,667,89,291,60,1,441,441,
Homer,Banks,1544,183,668,124,1,976,976,
Poplar Springs,Banks,1775,229,736,161,1,1127,1127,
Washington,Banks,704,87,303,56,1,447,447,
Wilmonts,Banks,620,78,264,55,0,397,397,
