Precinct,County,Registered Voters,Anita Reynolds Howard (Dem)_Election Day Votes,Anita Reynolds Howard (Dem)_Advanced Voting Votes,Anita Reynolds Howard (Dem)_Absentee by Mail Votes,Anita Reynolds Howard (Dem)_Provisional Votes,Anita Reynolds Howard (Dem)_Choice Total,Total,
District 1A,Crawford,516,89,118,53,0,260,260,
District 1B,Crawford,1025,80,370,121,1,572,572,
District 2,Crawford,1659,143,557,230,1,931,931,
District 3,Crawford,1738,150,509,103,0,762,762,
District 4,Crawford,1805,232,407,139,0,778,778,
District 5,Crawford,1769,242,400,134,0,776,776,
