Precinct,County,Registered Voters,Patrice Walker (I) (Rep)_Election Day Votes,Patrice Walker (I) (Rep)_Advanced Voting Votes,Patrice Walker (I) (Rep)_Absentee by Mail Votes,Patrice Walker (I) (Rep)_Provisional Votes,Patrice Walker (I) (Rep)_Choice Total,Total,
District 1A,Crawford,516,90,129,50,0,269,269,
District 1B,Crawford,1025,89,369,103,1,562,562,
District 2,Crawford,1659,165,656,210,1,1032,1032,
District 3,Crawford,1738,210,765,155,0,1130,1130,
District 4,Crawford,1805,375,657,187,0,1219,1219,
District 5,Crawford,1769,383,628,174,0,1185,1185,
