Precinct,County,Registered Voters,Wesley Corbitt (I) (Rep)_Election Day Votes,Wesley Corbitt (I) (Rep)_Advanced Voting Votes,Wesley Corbitt (I) (Rep)_Absentee by Mail Votes,Wesley Corbitt (I) (Rep)_Provisional Votes,Wesley Corbitt (I) (Rep)_Choice Total,Total,
1A,Effingham,1965,431,714,148,1,1294,1294,
1B,Effingham,3005,675,983,235,1,1894,1894,
1C,Effingham,1446,467,326,92,0,885,885,
1D,Effingham,2031,580,594,134,1,1309,1309,
2A,Effingham,3038,691,1045,275,1,2012,2012,
2B,Effingham,3010,596,894,262,1,1753,1753,
2C,Effingham,4621,754,1666,425,4,2849,2849,
3A,Effingham,1398,345,460,107,0,912,912,
3B,Effingham,1553,333,452,113,0,898,898,
3C,Effingham,2060,341,777,143,2,1263,1263,
3D,Effingham,3125,545,1136,220,3,1904,1904,
4A,Effingham,3726,535,1413,295,2,2245,2245,
4B,Effingham,1888,266,595,156,0,1017,1017,
4C,Effingham,2837,470,1035,237,0,1742,1742,
5A,Effingham,2924,487,1026,228,2,1743,1743,
5B,Effingham,3962,607,1266,316,1,2190,2190,
5C,Effingham,1684,285,583,148,1,1017,1017,
