Precinct,County,Registered Voters,Jon G. Burns (I) (Rep)_Election Day Votes,Jon G. Burns (I) (Rep)_Advanced Voting Votes,Jon G. Burns (I) (Rep)_Absentee by Mail Votes,Jon G. Burns (I) (Rep)_Provisional Votes,Jon G. Burns (I) (Rep)_Choice Total,Total,
1B,Effingham,3005,673,998,245,1,1917,1917,
3A,Effingham,1398,352,464,114,0,930,930,
3B,Effingham,1553,335,457,121,0,913,913,
3C,Effingham,2060,342,777,145,2,1266,1266,
3D,Effingham,3125,554,1146,217,3,1920,1920,
4A,Effingham,3726,544,1424,300,0,2268,2268,
4B,Effingham,1888,185,362,104,0,651,651,
4C,Effingham,2837,474,1039,246,0,1759,1759,
