Precinct,County,Registered Voters,David H. Exley (I) (Rep)_Election Day Votes,David H. Exley (I) (Rep)_Advanced Voting Votes,David H. Exley (I) (Rep)_Absentee by Mail Votes,David H. Exley (I) (Rep)_Provisional Votes,David H. Exley (I) (Rep)_Choice Total,Total,
1A,Effingham,1965,434,713,147,1,1295,1295,
1B,Effingham,3005,680,994,242,1,1917,1917,
1C,Effingham,1446,470,325,94,0,889,889,
1D,Effingham,2031,582,597,138,1,1318,1318,
2A,Effingham,3038,691,1050,283,1,2025,2025,
2B,Effingham,3010,600,905,267,1,1773,1773,
2C,Effingham,4621,761,1689,437,3,2890,2890,
3A,Effingham,1398,350,468,110,0,928,928,
3B,Effingham,1553,343,469,127,0,939,939,
3C,Effingham,2060,343,801,149,1,1294,1294,
3D,Effingham,3125,553,1163,222,3,1941,1941,
4A,Effingham,3726,544,1440,306,2,2292,2292,
4B,Effingham,1888,271,605,157,0,1033,1033,
4C,Effingham,2837,471,1050,247,0,1768,1768,
5A,Effingham,2924,493,1042,226,2,1763,1763,
5B,Effingham,3962,606,1283,315,1,2205,2205,
5C,Effingham,1684,292,598,155,1,1046,1046,
