Precinct,County,Registered Voters,Jimmy McDuffie (I) (Rep)_Election Day Votes,Jimmy McDuffie (I) (Rep)_Advanced Voting Votes,Jimmy McDuffie (I) (Rep)_Absentee by Mail Votes,Jimmy McDuffie (I) (Rep)_Provisional Votes,Jimmy McDuffie (I) (Rep)_Choice Total,Total,
1A,Effingham,1965,434,721,151,1,1307,1307,
1B,Effingham,3005,688,1012,247,2,1949,1949,
1C,Effingham,1446,470,326,96,0,892,892,
1D,Effingham,2031,586,599,137,1,1323,1323,
2A,Effingham,3038,694,1056,284,1,2035,2035,
2B,Effingham,3010,597,907,272,1,1777,1777,
2C,Effingham,4621,759,1695,435,4,2893,2893,
3A,Effingham,1398,357,471,111,0,939,939,
3B,Effingham,1553,351,482,138,0,971,971,
3C,Effingham,2060,342,807,148,2,1299,1299,
3D,Effingham,3125,567,1181,227,4,1979,1979,
4A,Effingham,3726,547,1451,307,2,2307,2307,
4B,Effingham,1888,278,616,162,0,1056,1056,
4C,Effingham,2837,474,1058,250,0,1782,1782,
5A,Effingham,2924,496,1047,226,2,1771,1771,
5B,Effingham,3962,614,1292,326,1,2233,2233,
5C,Effingham,1684,292,596,159,1,1048,1048,
