Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
1A,Effingham,1965,318,540,138,1,997,129,208,58,0,395,1392,
1B,Effingham,3005,513,740,196,0,1449,168,277,90,1,536,1985,
1C,Effingham,1446,340,251,90,0,681,151,99,35,0,285,966,
1D,Effingham,2031,436,451,131,1,1019,143,153,47,0,343,1362,
2A,Effingham,3038,523,827,235,1,1586,185,299,115,0,599,2185,
2B,Effingham,3010,495,716,230,1,1442,139,277,118,0,534,1976,
2C,Effingham,4621,585,1348,397,3,2333,210,499,186,1,896,3229,
3A,Effingham,1398,263,327,74,0,664,91,147,50,0,288,952,
3B,Effingham,1553,287,371,114,0,772,90,145,47,0,282,1054,
3C,Effingham,2060,258,623,117,1,999,98,225,50,1,374,1373,
3D,Effingham,3125,451,934,205,2,1592,128,302,81,2,513,2105,
4A,Effingham,3726,426,1112,253,2,1793,147,392,108,0,647,2440,
4B,Effingham,1888,229,491,165,0,885,66,178,62,0,306,1191,
4C,Effingham,2837,381,772,202,0,1355,114,304,94,0,512,1867,
5A,Effingham,2924,378,855,193,2,1428,140,270,96,0,506,1934,
5B,Effingham,3962,494,1098,300,0,1892,167,369,134,1,671,2563,
5C,Effingham,1684,227,510,161,3,901,79,148,43,0,270,1171,
