Precinct,County,Registered Voters,Randy_Election Day Votes,Randy_Advanced Voting Votes,Randy_Absentee by Mail Votes,Randy_Provisional Votes,Randy_Choice Total,Total,
Hoboken,Brantley,3394,538,1085,231,0,1854,1854,
Nahunta,Brantley,4208,415,1278,216,5,1914,1914,
Waynesville,Brantley,4286,719,1046,202,2,1969,1969,
