Precinct,County,Registered Voters,Len Davis (I) (Rep)_Election Day Votes,Len Davis (I) (Rep)_Advanced Voting Votes,Len Davis (I) (Rep)_Absentee by Mail Votes,Len Davis (I) (Rep)_Provisional Votes,Len Davis (I) (Rep)_Choice Total,Total,
Hoboken,Brantley,3394,637,1312,257,0,2206,2206,
Nahunta,Brantley,4208,544,1728,274,5,2551,2551,
Waynesville,Brantley,4286,801,1276,231,3,2311,2311,
