Precinct,County,Registered Voters,Harry Strickland (I) (Rep)_Election Day Votes,Harry Strickland (I) (Rep)_Advanced Voting Votes,Harry Strickland (I) (Rep)_Absentee by Mail Votes,Harry Strickland (I) (Rep)_Provisional Votes,Harry Strickland (I) (Rep)_Choice Total,Total,
Hoboken,Brantley,3394,628,1294,255,0,2177,2177,
Nahunta,Brantley,4208,541,1720,268,5,2534,2534,
Waynesville,Brantley,4286,813,1281,230,3,2327,2327,
