Precinct,County,Registered Voters,Pat Dowling Tompkins (I) (Rep)_Election Day Votes,Pat Dowling Tompkins (I) (Rep)_Advanced Voting Votes,Pat Dowling Tompkins (I) (Rep)_Absentee by Mail Votes,Pat Dowling Tompkins (I) (Rep)_Provisional Votes,Pat Dowling Tompkins (I) (Rep)_Choice Total,Total,
Hoboken,Brantley,3394,627,1298,254,0,2179,2179,
Nahunta,Brantley,4208,545,1721,279,5,2550,2550,
Waynesville,Brantley,4286,810,1284,235,3,2332,2332,
