Precinct,County,Registered Voters,Harold Herndon (Rep)_Election Day Votes,Harold Herndon (Rep)_Advanced Voting Votes,Harold Herndon (Rep)_Absentee by Mail Votes,Harold Herndon (Rep)_Provisional Votes,Harold Herndon (Rep)_Choice Total,Total,
Hoboken,Brantley,3394,612,1229,240,0,2081,2081,
Nahunta,Brantley,4208,502,1570,250,5,2327,2327,
Waynesville,Brantley,4286,790,1235,221,3,2249,2249,
