Precinct,County,Registered Voters,"R. Bruce Potts, Jr. (Rep)_Election Day Votes","R. Bruce Potts, Jr. (Rep)_Advanced Voting Votes","R. Bruce Potts, Jr. (Rep)_Absentee by Mail Votes","R. Bruce Potts, Jr. (Rep)_Provisional Votes","R. Bruce Potts, Jr. (Rep)_Choice Total",Total,
Sugar Valley,Gordon,1471,435,360,106,1,902,902,
Plainville,Gordon,2044,538,473,162,3,1176,1176,
Sonoraville,Gordon,5380,1187,1757,442,1,3387,3387,
Pine Chapel,Gordon,1071,323,261,66,0,650,650,
Oostanaula,Gordon,667,224,124,76,0,424,424,
Oakman,Gordon,1439,448,258,97,0,803,803,
Gordon County,Gordon,6423,902,2054,547,1,3504,3504,
Calhoun City,Gordon,9532,1132,3040,901,2,5075,5075,
Lily Pond,Gordon,1914,369,606,164,0,1139,1139,
Fairmount,Gordon,1991,705,356,182,2,1245,1245,
Red Bud,Gordon,2965,667,945,186,1,1799,1799,
Resaca,Gordon,1532,409,343,120,0,872,872,
