Precinct,County,Registered Voters,Chuck Payne (I) (Rep)_Election Day Votes,Chuck Payne (I) (Rep)_Advanced Voting Votes,Chuck Payne (I) (Rep)_Absentee by Mail Votes,Chuck Payne (I) (Rep)_Provisional Votes,Chuck Payne (I) (Rep)_Choice Total,Total,
Sonoraville,Gordon,5380,1170,1727,443,0,3340,3340,
Pine Chapel,Gordon,1071,321,268,66,0,655,655,
Oakman,Gordon,1439,437,257,103,0,797,797,
Fairmount,Gordon,1991,685,359,180,2,1226,1226,
Red Bud,Gordon,2965,655,951,181,1,1788,1788,
Resaca,Gordon,1532,391,312,105,0,808,808,
